"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Dil Thi Desi @Urban Chowk"|"250"|"Street Food,Fast Food"|"Ahmedabad"|"Thaltej"|"https://www.zomato.com/ahmedabad/dil-thi-desi-@urban-chowk-thaltej/info"|"154"|"Food Court"|"11am to 1130pm(Mon-Sun)"|"Average"|"3.3"|"12"
"Blue Moonlight Snacks"|"300"|"Fast Food"|"Ahmedabad"|"Satellite"|"https://www.zomato.com/ahmedabad/blue-moonlight-snacks-satellite/info"|"154"|"Quick Bites"|"11pm to 3am(Mon-Sun)"|"Not rated"|"-"|"-"
"Highway Town Chinese​"|"300"|"Chinese"|"Ahmedabad"|"Gota"|"https://www.zomato.com/ahmedabad/highway-town-chinese-gota/info"|"154"|"Quick Bites"|"6pm to 1145pm(Mon-Sun)"|"Average"|"3.0"|"7"
"Maharaja Dosa"|"450"|"South Indian"|"Ahmedabad"|"SBR Social-- Bodakdev"|"https://www.zomato.com/ahmedabad/maharaja-dosa-bodakdev/info"|"154"|"Food Court"|"7pm to 12midnight(Mon-Sun)"|"Average"|"3.3"|"7"
"Al Ali's Restaurant"|"600"|"North Indian,Mughlai,Chinese"|"Ahmedabad"|"Sarkhej"|"https://www.zomato.com/ahmedabad/al-alis-restaurant-sarkhej/info"|"154"|"Quick Bites"|"715pm to 1215AM(Mon-Sun)"|"Average"|"3.2"|"11"
"Sky Light Restaurant"|"250"|"Fast Food"|"Ahmedabad"|"Airport Gandhinagar Highway"|"https://www.zomato.com/ahmedabad/sky-light-restaurant-airport-gandhinagar-highway-gandhinagar/info"|"154"|"Quick Bites"|"11am to 1am(Mon-Sun)"|"Average"|"3.0"|"5"
"PhotoChinno Canapes"|"400"|"Cafe"|"Ahmedabad"|"Prahlad Nagar"|"https://www.zomato.com/ahmedabad/photochinno-canapes-prahlad-nagar/info"|"154"|"Café"|"630pm to 1am(Mon-Sun)"|"Average"|"3.1"|"11"
"Red Chilli Rajasthani Rasoi"|"400"|"Rajasthani"|"Ahmedabad"|"Thaltej"|"https://www.zomato.com/ahmedabad/red-chilli-rajasthani-rasoi-thaltej/info"|"154"|"Quick Bites"|"1pm to 1am(Mon-Sun)"|"Average"|"3.2"|"9"
"Org Foodporn"|"800"|"Desserts,Fast Food"|"Ahmedabad"|"Airport Gandhinagar Highway"|"https://www.zomato.com/ahmedabad/org-foodporn-airport-gandhinagar-highway-gandhinagar/info"|"154"|"Quick Bites"|"6pm to 4am(Mon-Sun)"|"Average"|"3.0"|"4"
"Freaky Frankie"|"200"|"Rolls"|"Ahmedabad"|"The Spicy Street Road-- Airport Gandhinagar Highway"|"https://www.zomato.com/ahmedabad/freaky-frankie-airport-gandhinagar-highway-gandhinagar/info"|"154"|"Food Court"|"630pm to 1130pm(Mon-Sun)"|"Average"|"3.1"|"6"
"Wanors"|"500"|"Bakery"|"Ahmedabad"|"Ashram Road"|"https://www.zomato.com/ahmedabad/wanors-ashram-road/info"|"154"|"none"|"11am to 12midnight(Mon-Sun)"|"Not rated"|"-"|"-"
"The Clay oven - House Of Biryanis, Kebabs & More"|"500"|"North Indian,Mughlai,Chinese"|"Ahmedabad"|"Bopal"|"https://www.zomato.com/ahmedabad/the-clay-oven-house-of-biryanis-kebabs-more-bopal/info"|"154"|"Quick Bites"|"12noon to 3pm,7pm to 12midnight(Mon-Sun)"|"None"|"NEW"|"NEW"
"Zippy Meals"|"300"|"Fast Food,North Indian"|"Ahmedabad"|"Infocity"|"https://www.zomato.com/ahmedabad/zippy-meals-infocity-gandhinagar/info"|"154"|"Quick Bites"|"(Mon-Tue),7pm to 4am(Wed-Sun)"|"None"|"NEW"|"NEW"
"Shree Balaji Garden Restaurant"|"550"|"North Indian,Gujarati,Chinese"|"Ahmedabad"|"Thaltej"|"https://www.zomato.com/ahmedabad/shree-balaji-garden-restaurant-thaltej/info"|"154"|"Casual Dining"|"11am to 4pm,6pm to 1am(Mon-Sun)"|"Average"|"3.1"|"11"
"The Sarang"|"200"|"Street Food"|"Ahmedabad"|"New Manek Chowk -- Gota"|"https://www.zomato.com/ahmedabad/the-sarang-gota/info"|"154"|"Quick Bites"|"6pm to 12midnight(Mon-Sun)"|"Average"|"3.0"|"8"
