"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Kailash Pav Bhaji"|"100"|"Fast Food"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/kailash-pav-bhaji-cidco/info"|"28"|"Kiosk"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"8"
"Chhotu Vada Pav"|"300"|"Fast Food"|"Aurangabad"|"Waluj"|"https://www.zomato.com/aurangabad/chhotu-vada-pav-waluj/info"|"28"|"none"|"8am to 11pm(Mon-Sun)"|"Good"|"3.6"|"13"
"Great Lucky Juice Centre"|"100"|"Beverages,Juices"|"Aurangabad"|"Nirala Bazar"|"https://www.zomato.com/aurangabad/great-lucky-juice-centre-nirala-bazar/info"|"28"|"Beverage Shop"|"9am to 11pm(Mon-Sun)"|"Good"|"3.6"|"21"
"Hotel Shiva Veg & Non Veg"|"300"|"North Indian,Biryani"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/hotel-shiva-veg-non-veg-cidco/info"|"28"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"32"
"Foodicted"|"400"|"Fast Food"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/foodicted-cidco/info"|"28"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"22"
"Mauli Poli Bhaji Kendra"|"200"|"Fast Food"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/mauli-poli-bhaji-kendra-cidco/info"|"28"|"Quick Bites"|"10am to 1230AM(Mon-Sun)"|"Average"|"3.4"|"16"
"Khalsa Punjabi Dhaba"|"700"|"North Indian"|"Aurangabad"|"Gadia Vihar"|"https://www.zomato.com/aurangabad/khalsa-punjabi-dhaba-gadia-vihar/info"|"28"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"31"
"Annapurna's 540 West Rest'O'Bar"|"1000"|"North Indian,Chinese,Hyderabadi"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/annapurnas-540-west-restobar-cidco/info"|"28"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"28"
"Modak Pure Veg"|"500"|"Chinese,North Indian,South Indian"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/modak-pure-veg-cidco/info"|"28"|"Quick Bites"|"7am to 11pm(Mon-Sun)"|"Average"|"3.3"|"34"
"Pohe Wala"|"100"|"North Indian"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/pohe-wala-cidco/info"|"28"|"none"|"8am to 11am,10pm to 1am(Mon-Sun)"|"Average"|"3.2"|"6"
"khalsa Dam Biryani Hotel"|"400"|"Biryani,North Indian"|"Aurangabad"|"Usmanpura"|"https://www.zomato.com/aurangabad/khalsa-dam-biryani-hotel-usmanpura/info"|"28"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"11"
"Hotel Guru - Shrimant"|"300"|"North Indian"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/hotel-guru-shrimant-cidco/info"|"28"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"Good"|"3.7"|"33"
"Ekta Biryani House"|"150"|"Biryani"|"Aurangabad"|"Mukundwadi"|"https://www.zomato.com/aurangabad/ekta-biryani-house-mukundwadi/info"|"28"|"none"|"10am to 11pm(Mon-Sun)"|"Good"|"3.6"|"25"
"Laxmi Sandwich & Pizza Centre"|"100"|"Chinese,Fast Food"|"Aurangabad"|"Ulkanagari"|"https://www.zomato.com/aurangabad/laxmi-sandwich-pizza-centre-ulkanagari/info"|"28"|"Quick Bites"|"5pm to 2am(Mon-Sun)"|"None"|"NEW"|"NEW"
"Hotel Naivedya"|"450"|"North Indian"|"Aurangabad"|"Waluj"|"https://www.zomato.com/aurangabad/hotel-naivedya-waluj/info"|"28"|"Casual Dining"|"1130am to 330pm,7pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"21"
