"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Gharghuti Kanduri Muton Hand"|"300"|"North Indian,Indian"|"Aurangabad"|"Akashwani"|"https://www.zomato.com/aurangabad/gharghuti-kanduri-muton-hand-akashwani/info"|"27"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.6"|"22"
"Central Perk"|"250"|"Fast Food,Street Food"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/central-perk-cidco/info"|"27"|"none"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"18"
"Lazzat Chinese"|"200"|"Chinese"|"Aurangabad"|"Gadia Vihar"|"https://www.zomato.com/aurangabad/lazzat-chinese-1-gadia-vihar/info"|"27"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"14"
"Mewad Hotel Pure Veg"|"200"|"North Indian"|"Aurangabad"|"Nirala Bazar"|"https://www.zomato.com/aurangabad/mewad-hotel-pure-veg-nirala-bazar/info"|"27"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Good"|"3.5"|"14"
"Get Inn Veg Restaurant"|"500"|"North Indian,Chinese"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/get-inn-veg-restaurant-cidco/info"|"27"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Good"|"3.6"|"46"
"Hotel Swagat Maratha"|"550"|"North Indian,Maharashtrian"|"Aurangabad"|"Gulmandi"|"https://www.zomato.com/aurangabad/hotel-swagat-maratha-gulmandi/info"|"27"|"Casual Dining"|"11am to 12midnight(Mon-Sun)"|"Good"|"3.7"|"31"
"Scoop & Smile By Ice Valley"|"250"|"Desserts,Fast Food"|"Aurangabad"|"CIDCO"|"https://www.zomato.com/aurangabad/scoop-smile-by-ice-valley-cidco/info"|"27"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Good"|"3.7"|"19"
"Kohinoor Plaza"|"650"|"North Indian,Chinese"|"Aurangabad"|"Nirala Bazar"|"https://www.zomato.com/aurangabad/kohinoor-plaza-nirala-bazar/info"|"27"|"Casual Dining"|"11am to 1130pm(Mon-Sun)"|"Average"|"3.4"|"42"
"Mini Taj Family Restaurant"|"500"|"North Indian,Mughlai"|"Aurangabad"|"Shahgunj"|"https://www.zomato.com/aurangabad/mini-taj-family-restaurant-shahgunj/info"|"27"|"Casual Dining"|"Closed(Mon,Sun),10am to 3am(Tue-Sat)"|"Good"|"3.5"|"38"
"Rudra Food Court"|"500"|"Fast Food"|"Aurangabad"|"Gadia Vihar"|"https://www.zomato.com/aurangabad/rudra-food-court-gadia-vihar/info"|"27"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"Good"|"3.5"|"31"
"Asra Mughal Darbar"|"400"|"Mughlai"|"Aurangabad"|"Shahgunj"|"https://www.zomato.com/aurangabad/asra-mughal-darbar-shahgunj/info"|"27"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Average"|"2.6"|"38"
"Cafe Commentary"|"200"|"Cafe,Fast Food"|"Aurangabad"|"Chikalthana"|"https://www.zomato.com/aurangabad/cafe-commentary-2-chikalthana/info"|"27"|"Café"|"4pm to 11pm(Mon-Sun)"|"Good"|"3.6"|"13"
"Hotel Uttam Maratha Veg Nonveg Restaurant"|"200"|"North Indian"|"Aurangabad"|"Sindhi Colony"|"https://www.zomato.com/aurangabad/hotel-uttam-maratha-veg-nonveg-restaurant-sindhi-colony/info"|"27"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Average"|"3.1"|"15"
"Baskin Robbins"|"300"|"Ice Cream,Desserts"|"Aurangabad"|"Ulkanagari"|"https://www.zomato.com/aurangabad/baskin-robbins-ulkanagari/info"|"27"|"Dessert Parlor"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"16"
"Hotel Morya"|"800"|"North Indian,Chinese"|"Aurangabad"|"Waluj"|"https://www.zomato.com/aurangabad/hotel-morya-waluj/info"|"27"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"29"
